5723,52034,310,380,47.732929,-122.325021
5141,52020,310,380,47.663589,-122.184504
1326,52020,310,380,undefined,undefined
1991,52021,310,380,47.605948,-122.341438
1325,52020,310,380,undefined,undefined
1460,52020,310,380,undefined,undefined
1988,52021,310,380,undefined,undefined
1320,52020,310,380,undefined,undefined
1459,52020,310,380,undefined,undefined
5146,52020,310,380,undefined,undefined
1993,52021,310,380,47.607947,-122.342787
1142,52025,310,380,undefined,undefined
5719,52034,310,380,undefined,undefined
1362,52020,310,380,47.678619,-122.219163
1361,52020,310,380,47.675562,-122.200525
4797,52021,310,380,undefined,undefined
5209,52021,310,380,undefined,undefined
9110,52021,310,380,undefined,undefined
1302,52025,310,380,undefined,undefined
9115,52021,310,380,undefined,undefined
1299,52025,310,380,undefined,undefined
9112,52021,310,380,undefined,undefined
5244,52021,310,380,undefined,undefined
1610,52021,310,380,undefined,undefined
8678,52021,310,380,undefined,undefined
1615,52021,310,380,undefined,undefined
8683,52021,310,380,47.620484,-122.350096
1612,52021,310,380,47.610162,-122.337616
1306,52025,310,380,undefined,undefined
8680,52021,310,380,undefined,undefined
7028,52020,310,380,undefined,undefined
7422,52025,310,380,undefined,undefined
5238,52021,310,380,undefined,undefined
5243,52021,310,380,47.612875,-122.345213
7425,52025,310,380,undefined,undefined
5240,52021,310,380,undefined,undefined
4801,52021,310,380,undefined,undefined
4802,52021,310,380,undefined,undefined
7032,52020,310,380,undefined,undefined
5218,52021,310,380,undefined,undefined
5223,52021,310,380,47.60655,-122.336845
1485,52020,310,380,undefined,undefined
5493,52025,310,380,undefined,undefined
5220,52021,310,380,undefined,undefined
1480,52020,310,380,undefined,undefined
5490,52025,310,380,undefined,undefined
5718,52034,310,380,undefined,undefined
5225,52021,310,380,undefined,undefined
1309,52035,310,380,undefined,undefined
5230,52021,310,380,47.613345,-122.33635
3795,52025,310,380,undefined,undefined
1310,52035,310,380,undefined,undefined
5145,52020,310,380,undefined,undefined
3792,52025,310,380,47.658376,-122.299107
5191,52020,310,380,47.68331,-122.140611
1314,52035,310,380,undefined,undefined
5207,52021,310,380,undefined,undefined
1363,52020,310,380,47.675804,-122.201511
5195,52020,310,380,undefined,undefined
3790,52025,310,380,undefined,undefined
1319,52020,310,380,undefined,undefined
5722,52034,310,380,47.727222,-122.322798
1464,52020,310,380,undefined,undefined
1324,52020,310,380,undefined,undefined
1463,52020,310,380,undefined,undefined
1989,52021,310,380,undefined,undefined
1323,52020,310,380,47.672706,-122.162753
1458,52020,310,380,undefined,undefined
1994,52021,310,380,undefined,undefined
1143,52025,310,380,47.686458,-122.325676
5144,52020,310,380,undefined,undefined
1312,52035,310,380,47.767717,-122.22211
1140,52025,310,380,undefined,undefined
1360,52020,310,380,undefined,undefined
4798,52021,310,380,undefined,undefined
5210,52021,310,380,47.610538,-122.335766
5212,52021,310,380,undefined,undefined
9111,52021,310,380,47.609342,-122.337662
1303,52025,310,380,undefined,undefined
9108,52021,310,380,undefined,undefined
1300,52025,310,380,undefined,undefined
9113,52021,310,380,47.610127,-122.339694
1611,52021,310,380,47.609468,-122.334409
8679,52021,310,380,undefined,undefined
1608,52021,310,380,undefined,undefined
1613,52021,310,380,47.6109,-122.335554
8681,52021,310,380,47.618059,-122.346709
7031,52020,310,380,47.716368,-122.185861
7423,52025,310,380,undefined,undefined
1304,52025,310,380,undefined,undefined
5239,52021,310,380,undefined,undefined
7420,52025,310,380,undefined,undefined
1144,52025,310,380,undefined,undefined
7426,52025,310,380,undefined,undefined
5241,52021,310,380,47.611699,-122.340148
1479,52020,310,380,undefined,undefined
5219,52021,310,380,undefined,undefined
1484,52020,310,380,undefined,undefined
5494,52025,310,380,undefined,undefined
5221,52021,310,380,47.605769,-122.337043
1483,52020,310,380,47.732195,-122.176102
5491,52025,310,380,undefined,undefined
5226,52021,310,380,undefined,undefined
5231,52021,310,380,undefined,undefined
3796,52025,310,380,undefined,undefined
1311,52035,310,380,47.767273,-122.175972
5228,52021,310,380,undefined,undefined
3793,52025,310,380,47.66564,-122.296275
5190,52020,310,380,undefined,undefined
5189,52020,310,380,undefined,undefined
5194,52020,310,380,undefined,undefined
3791,52025,310,380,47.65796,-122.297895
5193,52020,310,380,47.693274,-122.145551
3788,52025,310,380,undefined,undefined
1318,52020,310,380,undefined,undefined
5721,52034,310,380,undefined,undefined
1358,52020,310,380,undefined,undefined
5724,52034,310,380,undefined,undefined
1462,52020,310,380,undefined,undefined
1359,52020,310,380,undefined,undefined
1990,52021,310,380,undefined,undefined
1322,52020,310,380,47.655693,-122.162032
1461,52020,310,380,undefined,undefined
1321,52020,310,380,47.664529,-122.140324
1313,52035,310,380,47.794054,-122.192455
1992,52021,310,380,undefined,undefined
1141,52025,310,380,47.676096,-122.323232
5143,52020,310,380,47.667766,-122.18736
1138,52025,310,380,undefined,undefined
4799,52021,310,380,undefined,undefined
5211,52021,310,380,undefined,undefined
5208,52021,310,380,undefined,undefined
5213,52021,310,380,undefined,undefined
9109,52021,310,380,undefined,undefined
1139,52025,310,380,undefined,undefined
1301,52025,310,380,undefined,undefined
9114,52021,310,380,undefined,undefined
1298,52025,310,380,undefined,undefined
1609,52021,310,380,undefined,undefined
9116,52021,310,380,undefined,undefined
1614,52021,310,380,undefined,undefined
8682,52021,310,380,47.614418,-122.35311
7030,52020,310,380,undefined,undefined
1305,52025,310,380,undefined,undefined
7029,52020,310,380,undefined,undefined
7421,52025,310,380,undefined,undefined
8684,52021,310,380,undefined,undefined
5242,52021,310,380,undefined,undefined
4803,52021,310,380,undefined,undefined
7424,52025,310,380,undefined,undefined
7034,52020,310,380,undefined,undefined
4800,52021,310,380,47.608596,-122.335579
7033,52020,310,380,47.71966,-122.188164
5233,52021,310,380,undefined,undefined
5495,52025,310,380,undefined,undefined
5222,52021,310,380,47.603944,-122.339391
1482,52020,310,380,47.72874,-122.177086
5492,52025,310,380,undefined,undefined
5232,52021,310,380,undefined,undefined
5227,52021,310,380,undefined,undefined
1481,52020,310,380,47.726761,-122.170859
5489,52025,310,380,undefined,undefined
5224,52021,310,380,undefined,undefined
1308,52035,310,380,undefined,undefined
5229,52021,310,380,undefined,undefined
3794,52025,310,380,undefined,undefined
1364,52020,310,380,undefined,undefined
5720,52034,310,380,undefined,undefined
5192,52020,310,380,47.676258,-122.145538
3789,52025,310,380,undefined,undefined
5140,52020,310,380,undefined,undefined
5142,52020,310,380,47.66593,-122.186729
